ID,Province,Regency,District
1242,SUMATERA SELATAN,KABUPATEN OGAN KOMERING ILIR,MESUJI
1243,SUMATERA SELATAN,KABUPATEN OGAN KOMERING ILIR,SUNGAI MENANG
1244,SUMATERA SELATAN,KABUPATEN OGAN KOMERING ILIR,MESUJI MAKMUR
1245,SUMATERA SELATAN,KABUPATEN OGAN KOMERING ILIR,MESUJI RAYA
1246,SUMATERA SELATAN,KABUPATEN OGAN KOMERING ILIR,TULUNG SELAPAN
1247,SUMATERA SELATAN,KABUPATEN OGAN KOMERING ILIR,CENGAL
1248,SUMATERA SELATAN,KABUPATEN OGAN KOMERING ILIR,PEDAMARAN
1249,SUMATERA SELATAN,KABUPATEN OGAN KOMERING ILIR,PEDAMARAN TIMUR
1250,SUMATERA SELATAN,KABUPATEN OGAN KOMERING ILIR,TANJUNG LUBUK
1251,SUMATERA SELATAN,KABUPATEN OGAN KOMERING ILIR,TELUK GELAM
1252,SUMATERA SELATAN,KABUPATEN OGAN KOMERING ILIR,KOTA KAYU AGUNG
1253,SUMATERA SELATAN,KABUPATEN OGAN KOMERING ILIR,SIRAH PULAU PADANG
1254,SUMATERA SELATAN,KABUPATEN OGAN KOMERING ILIR,JEJAWI
1255,SUMATERA SELATAN,KABUPATEN OGAN KOMERING ILIR,PAMPANGAN
1256,SUMATERA SELATAN,KABUPATEN OGAN KOMERING ILIR,PANGKALAN LAPAM
1257,SUMATERA SELATAN,KABUPATEN OGAN KOMERING ILIR,AIR SUGIHAN
1258,SUMATERA SELATAN,KABUPATEN MUARA ENIM,SEMENDO DARAT LAUT
1259,SUMATERA SELATAN,KABUPATEN MUARA ENIM,SEMENDO DARAT ULU
1260,SUMATERA SELATAN,KABUPATEN MUARA ENIM,SEMENDO DARAT TENGAH
1261,SUMATERA SELATAN,KABUPATEN MUARA ENIM,TANJUNG AGUNG
1262,SUMATERA SELATAN,KABUPATEN MUARA ENIM,RAMBANG
1263,SUMATERA SELATAN,KABUPATEN MUARA ENIM,LUBAI
1264,SUMATERA SELATAN,KABUPATEN MUARA ENIM,LUBAI ULU
1265,SUMATERA SELATAN,KABUPATEN MUARA ENIM,LAWANG KIDUL
1266,SUMATERA SELATAN,KABUPATEN MUARA ENIM,MUARA ENIM
1267,SUMATERA SELATAN,KABUPATEN MUARA ENIM,UJAN MAS
1268,SUMATERA SELATAN,KABUPATEN MUARA ENIM,GUNUNG MEGANG
1269,SUMATERA SELATAN,KABUPATEN MUARA ENIM,BENAKAT
1270,SUMATERA SELATAN,KABUPATEN MUARA ENIM,BELIMBING
1271,SUMATERA SELATAN,KABUPATEN MUARA ENIM,RAMBANG DANGKU
1272,SUMATERA SELATAN,KABUPATEN MUARA ENIM,GELUMBANG
1273,SUMATERA SELATAN,KABUPATEN MUARA ENIM,LEMBAK
1274,SUMATERA SELATAN,KABUPATEN MUARA ENIM,SUNGAI ROTAN
1275,SUMATERA SELATAN,KABUPATEN MUARA ENIM,MUARA BELIDA
1276,SUMATERA SELATAN,KABUPATEN MUARA ENIM,KELEKAR
1277,SUMATERA SELATAN,KABUPATEN MUARA ENIM,BELIDA DARAT
1278,SUMATERA SELATAN,KABUPATEN LAHAT,TANJUNG SAKTI PUMI
1279,SUMATERA SELATAN,KABUPATEN LAHAT,TANJUNG SAKTI PUMU
1280,SUMATERA SELATAN,KABUPATEN LAHAT,KOTA AGUNG
1281,SUMATERA SELATAN,KABUPATEN LAHAT,MULAK ULU
1282,SUMATERA SELATAN,KABUPATEN LAHAT,TANJUNG TEBAT
1283,SUMATERA SELATAN,KABUPATEN LAHAT,MULAK SEBINGKAI
1284,SUMATERA SELATAN,KABUPATEN LAHAT,PULAU PINANG
1285,SUMATERA SELATAN,KABUPATEN LAHAT,PAGAR GUNUNG
1286,SUMATERA SELATAN,KABUPATEN LAHAT,GUMAY ULU
1287,SUMATERA SELATAN,KABUPATEN LAHAT,JARAI
1288,SUMATERA SELATAN,KABUPATEN LAHAT,PAJAR BULAN
1289,SUMATERA SELATAN,KABUPATEN LAHAT,MUARA PAYANG
1290,SUMATERA SELATAN,KABUPATEN LAHAT,SUKAMERINDU
1291,SUMATERA SELATAN,KABUPATEN LAHAT,KIKIM BARAT
1292,SUMATERA SELATAN,KABUPATEN LAHAT,KIKIM TIMUR
1293,SUMATERA SELATAN,KABUPATEN LAHAT,KIKIM SELATAN
1294,SUMATERA SELATAN,KABUPATEN LAHAT,KIKIM TENGAH
1295,SUMATERA SELATAN,KABUPATEN LAHAT,LAHAT
1296,SUMATERA SELATAN,KABUPATEN LAHAT,GUMAY TALANG
1297,SUMATERA SELATAN,KABUPATEN LAHAT,PSEKSU
1298,SUMATERA SELATAN,KABUPATEN LAHAT,LAHAT SELATAN
1299,SUMATERA SELATAN,KABUPATEN LAHAT,MERAPI BARAT
1300,SUMATERA SELATAN,KABUPATEN LAHAT,MERAPI TIMUR
1301,SUMATERA SELATAN,KABUPATEN LAHAT,MERAPI SELATAN
1302,SUMATERA SELATAN,KABUPATEN MUSI RAWAS,SUKU TENGAH LAKITAN ULU
1303,SUMATERA SELATAN,KABUPATEN MUSI RAWAS,SELANGIT
1304,SUMATERA SELATAN,KABUPATEN MUSI RAWAS,SUMBER HARTA
1305,SUMATERA SELATAN,KABUPATEN MUSI RAWAS,TUGUMULYO
1306,SUMATERA SELATAN,KABUPATEN MUSI RAWAS,PURWODADI
1307,SUMATERA SELATAN,KABUPATEN MUSI RAWAS,MUARA BELITI
1308,SUMATERA SELATAN,KABUPATEN MUSI RAWAS,TIANG PUMPUNG KEPUNGUT
1309,SUMATERA SELATAN,KABUPATEN MUSI RAWAS,JAYALOKA
1310,SUMATERA SELATAN,KABUPATEN MUSI RAWAS,SUKA KARYA
1311,SUMATERA SELATAN,KABUPATEN MUSI RAWAS,MUARA KELINGI
1312,SUMATERA SELATAN,KABUPATEN MUSI RAWAS,BULANG TENGAH SUKU ULU
1313,SUMATERA SELATAN,KABUPATEN MUSI RAWAS,TUAH NEGERI
1314,SUMATERA SELATAN,KABUPATEN MUSI RAWAS,MUARA LAKITAN
1315,SUMATERA SELATAN,KABUPATEN MUSI RAWAS,MEGANG SAKTI
1316,SUMATERA SELATAN,KABUPATEN MUSI BANYUASIN,SANGA DESA
1317,SUMATERA SELATAN,KABUPATEN MUSI BANYUASIN,BABAT TOMAN
1318,SUMATERA SELATAN,KABUPATEN MUSI BANYUASIN,BATANGHARI LEKO
1319,SUMATERA SELATAN,KABUPATEN MUSI BANYUASIN,PLAKAT TINGGI
1320,SUMATERA SELATAN,KABUPATEN MUSI BANYUASIN,LAWANG WETAN
1321,SUMATERA SELATAN,KABUPATEN MUSI BANYUASIN,SUNGAI KERUH
1322,SUMATERA SELATAN,KABUPATEN MUSI BANYUASIN,SEKAYU
1323,SUMATERA SELATAN,KABUPATEN MUSI BANYUASIN,LAIS
1324,SUMATERA SELATAN,KABUPATEN MUSI BANYUASIN,SUNGAI LILIN
1325,SUMATERA SELATAN,KABUPATEN MUSI BANYUASIN,KELUANG
1326,SUMATERA SELATAN,KABUPATEN MUSI BANYUASIN,BABAT SUPAT
1327,SUMATERA SELATAN,KABUPATEN MUSI BANYUASIN,BAYUNG LENCIR
1328,SUMATERA SELATAN,KABUPATEN MUSI BANYUASIN,LALAN
1329,SUMATERA SELATAN,KABUPATEN MUSI BANYUASIN,TUNGKAL JAYA
1330,SUMATERA SELATAN,KABUPATEN BANYU ASIN,RANTAU BAYUR
1331,SUMATERA SELATAN,KABUPATEN BANYU ASIN,BETUNG
1332,SUMATERA SELATAN,KABUPATEN BANYU ASIN,SUAK TAPEH
1333,SUMATERA SELATAN,KABUPATEN BANYU ASIN,PULAU RIMAU
1334,SUMATERA SELATAN,KABUPATEN BANYU ASIN,TUNGKAL ILIR
1335,SUMATERA SELATAN,KABUPATEN BANYU ASIN,BANYUASIN III
1336,SUMATERA SELATAN,KABUPATEN BANYU ASIN,SEMBAWA
1337,SUMATERA SELATAN,KABUPATEN BANYU ASIN,TALANG KELAPA
1338,SUMATERA SELATAN,KABUPATEN BANYU ASIN,TANJUNG LAGO
1339,SUMATERA SELATAN,KABUPATEN BANYU ASIN,BANYUASIN I
1340,SUMATERA SELATAN,KABUPATEN BANYU ASIN,AIR KUMBANG
1341,SUMATERA SELATAN,KABUPATEN BANYU ASIN,RAMBUTAN
1342,SUMATERA SELATAN,KABUPATEN BANYU ASIN,MUARA PADANG
1343,SUMATERA SELATAN,KABUPATEN BANYU ASIN,MUARA SUGIHAN
1344,SUMATERA SELATAN,KABUPATEN BANYU ASIN,MAKARTI JAYA
1345,SUMATERA SELATAN,KABUPATEN BANYU ASIN,AIR SALEH
1346,SUMATERA SELATAN,KABUPATEN BANYU ASIN,BANYUASIN II
1347,SUMATERA SELATAN,KABUPATEN BANYU ASIN,MUARA TELANG
1348,SUMATERA SELATAN,KABUPATEN BANYU ASIN,SUMBER MARGA TELANG
1349,SUMATERA SELATAN,KABUPATEN OGAN KOMERING ULU SELATAN,MEKAKAU ILIR
1350,SUMATERA SELATAN,KABUPATEN OGAN KOMERING ULU SELATAN,BANDING AGUNG
1351,SUMATERA SELATAN,KABUPATEN OGAN KOMERING ULU SELATAN,WARKUK RANAU SELATAN
1352,SUMATERA SELATAN,KABUPATEN OGAN KOMERING ULU SELATAN,BUAY PEMATANG RIBU RANAU TENGAH
1353,SUMATERA SELATAN,KABUPATEN OGAN KOMERING ULU SELATAN,BUAY PEMACA
1354,SUMATERA SELATAN,KABUPATEN OGAN KOMERING ULU SELATAN,SIMPANG
1355,SUMATERA SELATAN,KABUPATEN OGAN KOMERING ULU SELATAN,BUANA PEMACA
1356,SUMATERA SELATAN,KABUPATEN OGAN KOMERING ULU SELATAN,MUARADUA
1357,SUMATERA SELATAN,KABUPATEN OGAN KOMERING ULU SELATAN,BUAY RAWAN
1358,SUMATERA SELATAN,KABUPATEN OGAN KOMERING ULU SELATAN,BUAY SANDANG AJI
1359,SUMATERA SELATAN,KABUPATEN OGAN KOMERING ULU SELATAN,TIGA DIHAJI
1360,SUMATERA SELATAN,KABUPATEN OGAN KOMERING ULU SELATAN,BUAY RUNJUNG
1361,SUMATERA SELATAN,KABUPATEN OGAN KOMERING ULU SELATAN,RUNJUNG AGUNG
1362,SUMATERA SELATAN,KABUPATEN OGAN KOMERING ULU SELATAN,KISAM TINGGI
1363,SUMATERA SELATAN,KABUPATEN OGAN KOMERING ULU SELATAN,MUARADUA KISAM
1364,SUMATERA SELATAN,KABUPATEN OGAN KOMERING ULU SELATAN,KISAM ILIR
1365,SUMATERA SELATAN,KABUPATEN OGAN KOMERING ULU SELATAN,PULAU BERINGIN
1366,SUMATERA SELATAN,KABUPATEN OGAN KOMERING ULU SELATAN,SINDANG DANAU
1367,SUMATERA SELATAN,KABUPATEN OGAN KOMERING ULU SELATAN,SUNGAI ARE
1368,SUMATERA SELATAN,KABUPATEN OGAN KOMERING ULU TIMUR,MARTAPURA
1369,SUMATERA SELATAN,KABUPATEN OGAN KOMERING ULU TIMUR,BUNGA MAYANG
1370,SUMATERA SELATAN,KABUPATEN OGAN KOMERING ULU TIMUR,JAYA PURA
1371,SUMATERA SELATAN,KABUPATEN OGAN KOMERING ULU TIMUR,BUAY PEMUKA PELIUNG
1372,SUMATERA SELATAN,KABUPATEN OGAN KOMERING ULU TIMUR,BUAY MADANG
1373,SUMATERA SELATAN,KABUPATEN OGAN KOMERING ULU TIMUR,BUAY MADANG TIMUR
1374,SUMATERA SELATAN,KABUPATEN OGAN KOMERING ULU TIMUR,BUAY PEMUKA BANGSA RAJA
1375,SUMATERA SELATAN,KABUPATEN OGAN KOMERING ULU TIMUR,MADANG SUKU II
1376,SUMATERA SELATAN,KABUPATEN OGAN KOMERING ULU TIMUR,MADANG SUKU III
1377,SUMATERA SELATAN,KABUPATEN OGAN KOMERING ULU TIMUR,MADANG SUKU I
1378,SUMATERA SELATAN,KABUPATEN OGAN KOMERING ULU TIMUR,BELITANG MADANG RAYA
1379,SUMATERA SELATAN,KABUPATEN OGAN KOMERING ULU TIMUR,BELITANG
1380,SUMATERA SELATAN,KABUPATEN OGAN KOMERING ULU TIMUR,BELITANG JAYA
1381,SUMATERA SELATAN,KABUPATEN OGAN KOMERING ULU TIMUR,BELITANG III
1382,SUMATERA SELATAN,KABUPATEN OGAN KOMERING ULU TIMUR,BELITANG II
1383,SUMATERA SELATAN,KABUPATEN OGAN KOMERING ULU TIMUR,BELITANG MULYA
1384,SUMATERA SELATAN,KABUPATEN OGAN KOMERING ULU TIMUR,SEMENDAWAI SUKU III
1385,SUMATERA SELATAN,KABUPATEN OGAN KOMERING ULU TIMUR,SEMENDAWAI TIMUR
1386,SUMATERA SELATAN,KABUPATEN OGAN KOMERING ULU TIMUR,CEMPAKA
1387,SUMATERA SELATAN,KABUPATEN OGAN KOMERING ULU TIMUR,SEMENDAWAI BARAT
1388,SUMATERA SELATAN,KABUPATEN OGAN ILIR,MUARA KUANG
1389,SUMATERA SELATAN,KABUPATEN OGAN ILIR,RAMBANG KUANG
1390,SUMATERA SELATAN,KABUPATEN OGAN ILIR,LUBUK KELIAT
1391,SUMATERA SELATAN,KABUPATEN OGAN ILIR,TANJUNG BATU
1392,SUMATERA SELATAN,KABUPATEN OGAN ILIR,PAYARAMAN
1393,SUMATERA SELATAN,KABUPATEN OGAN ILIR,RANTAU ALAI
1394,SUMATERA SELATAN,KABUPATEN OGAN ILIR,KANDIS
1395,SUMATERA SELATAN,KABUPATEN OGAN ILIR,TANJUNG RAJA
1396,SUMATERA SELATAN,KABUPATEN OGAN ILIR,RANTAU PANJANG
1397,SUMATERA SELATAN,KABUPATEN OGAN ILIR,SUNGAI PINANG
1398,SUMATERA SELATAN,KABUPATEN OGAN ILIR,PEMULUTAN
1399,SUMATERA SELATAN,KABUPATEN OGAN ILIR,PEMULUTAN SELATAN
1400,SUMATERA SELATAN,KABUPATEN OGAN ILIR,PEMULUTAN BARAT
1401,SUMATERA SELATAN,KABUPATEN OGAN ILIR,INDRALAYA
1402,SUMATERA SELATAN,KABUPATEN OGAN ILIR,INDRALAYA UTARA
1403,SUMATERA SELATAN,KABUPATEN OGAN ILIR,INDRALAYA SELATAN
1404,SUMATERA SELATAN,KABUPATEN EMPAT LAWANG,MUARA PINANG
1405,SUMATERA SELATAN,KABUPATEN EMPAT LAWANG,LINTANG KANAN
1406,SUMATERA SELATAN,KABUPATEN EMPAT LAWANG,PENDOPO
1407,SUMATERA SELATAN,KABUPATEN EMPAT LAWANG,PENDOPO BARAT
1408,SUMATERA SELATAN,KABUPATEN EMPAT LAWANG,PASEMAH AIR KERUH
1409,SUMATERA SELATAN,KABUPATEN EMPAT LAWANG,ULU MUSI
1410,SUMATERA SELATAN,KABUPATEN EMPAT LAWANG,SIKAP DALAM
1411,SUMATERA SELATAN,KABUPATEN EMPAT LAWANG,TALANG PADANG
1412,SUMATERA SELATAN,KABUPATEN EMPAT LAWANG,TEBING TINGGI
1413,SUMATERA SELATAN,KABUPATEN EMPAT LAWANG,SALING
1414,SUMATERA SELATAN,KABUPATEN PENUKAL ABAB LEMATANG ILIR,TALANG UBI
1415,SUMATERA SELATAN,KABUPATEN PENUKAL ABAB LEMATANG ILIR,TANAH ABANG
1416,SUMATERA SELATAN,KABUPATEN PENUKAL ABAB LEMATANG ILIR,ABAB
1417,SUMATERA SELATAN,KABUPATEN PENUKAL ABAB LEMATANG ILIR,PENUKAL
1418,SUMATERA SELATAN,KABUPATEN PENUKAL ABAB LEMATANG ILIR,PENUKAL UTARA
1419,SUMATERA SELATAN,KABUPATEN MUSI RAWAS UTARA,ULU RAWAS
1420,SUMATERA SELATAN,KABUPATEN MUSI RAWAS UTARA,KARANG JAYA
1421,SUMATERA SELATAN,KABUPATEN MUSI RAWAS UTARA,RAWAS ULU
1422,SUMATERA SELATAN,KABUPATEN MUSI RAWAS UTARA,RUPIT
1423,SUMATERA SELATAN,KABUPATEN MUSI RAWAS UTARA,KARANG DAPO
1424,SUMATERA SELATAN,KABUPATEN MUSI RAWAS UTARA,RAWAS ILIR
1425,SUMATERA SELATAN,KABUPATEN MUSI RAWAS UTARA,NIBUNG
1426,SUMATERA SELATAN,KOTA PALEMBANG,ILIR BARAT II
1427,SUMATERA SELATAN,KOTA PALEMBANG,GANDUS
1428,SUMATERA SELATAN,KOTA PALEMBANG,SEBERANG ULU I
1429,SUMATERA SELATAN,KOTA PALEMBANG,KERTAPATI
1430,SUMATERA SELATAN,KOTA PALEMBANG,JAKABARING
1431,SUMATERA SELATAN,KOTA PALEMBANG,SEBERANG ULU II
1432,SUMATERA SELATAN,KOTA PALEMBANG,PLAJU
1433,SUMATERA SELATAN,KOTA PALEMBANG,ILIR BARAT I
1434,SUMATERA SELATAN,KOTA PALEMBANG,BUKIT KECIL
1435,SUMATERA SELATAN,KOTA PALEMBANG,ILIR TIMUR I
1436,SUMATERA SELATAN,KOTA PALEMBANG,KEMUNING
1437,SUMATERA SELATAN,KOTA PALEMBANG,ILIR TIMUR II
1438,SUMATERA SELATAN,KOTA PALEMBANG,KALIDONI
1439,SUMATERA SELATAN,KOTA PALEMBANG,ILIR TIMUR III
1440,SUMATERA SELATAN,KOTA PALEMBANG,SAKO
1441,SUMATERA SELATAN,KOTA PALEMBANG,SEMATANG BORANG
1442,SUMATERA SELATAN,KOTA PALEMBANG,SUKARAMI
1443,SUMATERA SELATAN,KOTA PALEMBANG,ALANG ALANG LEBAR
1444,SUMATERA SELATAN,KOTA PRABUMULIH,RAMBANG KAPAK TENGAH
1445,SUMATERA SELATAN,KOTA PRABUMULIH,PRABUMULIH TIMUR
1446,SUMATERA SELATAN,KOTA PRABUMULIH,PRABUMULIH SELATAN
1447,SUMATERA SELATAN,KOTA PRABUMULIH,PRABUMULIH BARAT
1448,SUMATERA SELATAN,KOTA PRABUMULIH,PRABUMULIH UTARA
1449,SUMATERA SELATAN,KOTA PRABUMULIH,CAMBAI
1450,SUMATERA SELATAN,KOTA PAGAR ALAM,DEMPO SELATAN
1451,SUMATERA SELATAN,KOTA PAGAR ALAM,DEMPO TENGAH
1452,SUMATERA SELATAN,KOTA PAGAR ALAM,DEMPO UTARA
1453,SUMATERA SELATAN,KOTA PAGAR ALAM,PAGAR ALAM SELATAN
1454,SUMATERA SELATAN,KOTA PAGAR ALAM,PAGAR ALAM UTARA
1455,SUMATERA SELATAN,KOTA LUBUKLINGGAU,LUBUK LINGGAU BARAT I
1456,SUMATERA SELATAN,KOTA LUBUKLINGGAU,LUBUK LINGGAU BARAT II
1457,SUMATERA SELATAN,KOTA LUBUKLINGGAU,LUBUK LINGGAU SELATAN I
1458,SUMATERA SELATAN,KOTA LUBUKLINGGAU,LUBUK LINGGAU SELATAN II
1459,SUMATERA SELATAN,KOTA LUBUKLINGGAU,LUBUK LINGGAU TIMUR I
1460,SUMATERA SELATAN,KOTA LUBUKLINGGAU,LUBUK LINGGAU TIMUR II
1461,SUMATERA SELATAN,KOTA LUBUKLINGGAU,LUBUK LINGGAU UTARA I
1462,SUMATERA SELATAN,KOTA LUBUKLINGGAU,LUBUK LINGGAU UTARA II
1463,BENGKULU,KABUPATEN BENGKULU SELATAN,MANNA
1464,BENGKULU,KABUPATEN BENGKULU SELATAN,KOTA MANNA
1465,BENGKULU,KABUPATEN BENGKULU SELATAN,KEDURANG
1466,BENGKULU,KABUPATEN BENGKULU SELATAN,BUNGA MAS
1467,BENGKULU,KABUPATEN BENGKULU SELATAN,PASAR MANNA
1468,BENGKULU,KABUPATEN BENGKULU SELATAN,KEDURANG ILIR
1469,BENGKULU,KABUPATEN BENGKULU SELATAN,SEGINIM
1470,BENGKULU,KABUPATEN BENGKULU SELATAN,AIR NIPIS
1471,BENGKULU,KABUPATEN BENGKULU SELATAN,PINO
1472,BENGKULU,KABUPATEN BENGKULU SELATAN,PINORAYA
1473,BENGKULU,KABUPATEN BENGKULU SELATAN,ULU MANNA
1474,BENGKULU,KABUPATEN REJANG LEBONG,KOTA PADANG
1475,BENGKULU,KABUPATEN REJANG LEBONG,SINDANG BELITI ILIR
1476,BENGKULU,KABUPATEN REJANG LEBONG,PADANG ULAK TANDING
1477,BENGKULU,KABUPATEN REJANG LEBONG,SINDANG KELINGI
1478,BENGKULU,KABUPATEN REJANG LEBONG,BINDU RIANG
1479,BENGKULU,KABUPATEN REJANG LEBONG,SINDANG BELITI ULU
1480,BENGKULU,KABUPATEN REJANG LEBONG,SINDANG DATARAN
1481,BENGKULU,KABUPATEN REJANG LEBONG,CURUP
1482,BENGKULU,KABUPATEN REJANG LEBONG,BERMANI ULU
1483,BENGKULU,KABUPATEN REJANG LEBONG,SELUPU REJANG
1484,BENGKULU,KABUPATEN REJANG LEBONG,CURUP SELATAN
1485,BENGKULU,KABUPATEN REJANG LEBONG,CURUP TENGAH
1486,BENGKULU,KABUPATEN REJANG LEBONG,BERMANI ULU RAYA
1487,BENGKULU,KABUPATEN REJANG LEBONG,CURUP UTARA
1488,BENGKULU,KABUPATEN REJANG LEBONG,CURUP TIMUR
1489,BENGKULU,KABUPATEN BENGKULU UTARA,ENGGANO
1490,BENGKULU,KABUPATEN BENGKULU UTARA,KERKAP
1491,BENGKULU,KABUPATEN BENGKULU UTARA,AIR NAPAL
1492,BENGKULU,KABUPATEN BENGKULU UTARA,AIR BESI
1493,BENGKULU,KABUPATEN BENGKULU UTARA,HULU PALIK
1494,BENGKULU,KABUPATEN BENGKULU UTARA,TANJUNG AGUNG PALIK
1495,BENGKULU,KABUPATEN BENGKULU UTARA,ARGA MAKMUR
1496,BENGKULU,KABUPATEN BENGKULU UTARA,ARMA JAYA
1497,BENGKULU,KABUPATEN BENGKULU UTARA,LAIS
1498,BENGKULU,KABUPATEN BENGKULU UTARA,BATIK NAU
1499,BENGKULU,KABUPATEN BENGKULU UTARA,GIRI MULYA
1500,BENGKULU,KABUPATEN BENGKULU UTARA,AIR PADANG
1501,BENGKULU,KABUPATEN BENGKULU UTARA,PADANG JAYA
1502,BENGKULU,KABUPATEN BENGKULU UTARA,KETAHUN
1503,BENGKULU,KABUPATEN BENGKULU UTARA,NAPAL PUTIH
1504,BENGKULU,KABUPATEN BENGKULU UTARA,ULOK KUPAI
1505,BENGKULU,KABUPATEN BENGKULU UTARA,PINANG RAYA
1506,BENGKULU,KABUPATEN BENGKULU UTARA,PUTRI HIJAU
1507,BENGKULU,KABUPATEN BENGKULU UTARA,MARGA SAKTI SEBELAT
1508,BENGKULU,KABUPATEN KAUR,NASAL
1509,BENGKULU,KABUPATEN KAUR,MAJE
1510,BENGKULU,KABUPATEN KAUR,KAUR SELATAN
1511,BENGKULU,KABUPATEN KAUR,TETAP
1512,BENGKULU,KABUPATEN KAUR,KAUR TENGAH
1513,BENGKULU,KABUPATEN KAUR,LUAS
1514,BENGKULU,KABUPATEN KAUR,MUARA SAHUNG
1515,BENGKULU,KABUPATEN KAUR,KINAL
1516,BENGKULU,KABUPATEN KAUR,SEMIDANG GUMAY
1517,BENGKULU,KABUPATEN KAUR,TANJUNG KEMUNING
1518,BENGKULU,KABUPATEN KAUR,KELAM TENGAH
1519,BENGKULU,KABUPATEN KAUR,KAUR UTARA
1520,BENGKULU,KABUPATEN KAUR,PADANG GUCI HILIR
1521,BENGKULU,KABUPATEN KAUR,LUNGKANG KULE
1522,BENGKULU,KABUPATEN KAUR,PADANG GUCI HULU
1523,BENGKULU,KABUPATEN SELUMA,SEMIDANG ALAS MARAS
1524,BENGKULU,KABUPATEN SELUMA,SEMIDANG ALAS
1525,BENGKULU,KABUPATEN SELUMA,TALO
1526,BENGKULU,KABUPATEN SELUMA,ILIR TALO
1527,BENGKULU,KABUPATEN SELUMA,TALO KECIL
1528,BENGKULU,KABUPATEN SELUMA,ULU TALO
1529,BENGKULU,KABUPATEN SELUMA,SELUMA
1530,BENGKULU,KABUPATEN SELUMA,SELUMA SELATAN
1531,BENGKULU,KABUPATEN SELUMA,SELUMA BARAT
1532,BENGKULU,KABUPATEN SELUMA,SELUMA TIMUR
1533,BENGKULU,KABUPATEN SELUMA,SELUMA UTARA
1534,BENGKULU,KABUPATEN SELUMA,SUKARAJA
1535,BENGKULU,KABUPATEN SELUMA,AIR PERIUKAN
1536,BENGKULU,KABUPATEN SELUMA,LUBUK SANDI
1537,BENGKULU,KABUPATEN MUKOMUKO,IPUH
1538,BENGKULU,KABUPATEN MUKOMUKO,AIR RAMI
1539,BENGKULU,KABUPATEN MUKOMUKO,MALIN DEMAN
1540,BENGKULU,KABUPATEN MUKOMUKO,PONDOK SUGUH
1541,BENGKULU,KABUPATEN MUKOMUKO,SUNGAI RUMBAI
1542,BENGKULU,KABUPATEN MUKOMUKO,TERAMANG JAYA
1543,BENGKULU,KABUPATEN MUKOMUKO,TERAS TERUNJAM
1544,BENGKULU,KABUPATEN MUKOMUKO,PENARIK
1545,BENGKULU,KABUPATEN MUKOMUKO,SELAGAN RAYA
1546,BENGKULU,KABUPATEN MUKOMUKO,KOTA MUKOMUKO
1547,BENGKULU,KABUPATEN MUKOMUKO,AIR DIKIT
1548,BENGKULU,KABUPATEN MUKOMUKO,XIV KOTO
1549,BENGKULU,KABUPATEN MUKOMUKO,LUBUK PINANG
1550,BENGKULU,KABUPATEN MUKOMUKO,AIR MANJUNTO
1551,BENGKULU,KABUPATEN MUKOMUKO,V KOTO
1552,BENGKULU,KABUPATEN LEBONG,RIMBO PENGADANG
1553,BENGKULU,KABUPATEN LEBONG,TOPOS
1554,BENGKULU,KABUPATEN LEBONG,LEBONG SELATAN
1555,BENGKULU,KABUPATEN LEBONG,BINGIN KUNING
1556,BENGKULU,KABUPATEN LEBONG,LEBONG TENGAH
1557,BENGKULU,KABUPATEN LEBONG,LEBONG SAKTI
1558,BENGKULU,KABUPATEN LEBONG,LEBONG ATAS
1559,BENGKULU,KABUPATEN LEBONG,PELABAI
1560,BENGKULU,KABUPATEN LEBONG,LEBONG UTARA
1561,BENGKULU,KABUPATEN LEBONG,AMEN
1562,BENGKULU,KABUPATEN LEBONG,URAM JAYA
1563,BENGKULU,KABUPATEN LEBONG,PINANG BELAPIS
1564,BENGKULU,KABUPATEN KEPAHIANG,MUARA KEMUMU
1565,BENGKULU,KABUPATEN KEPAHIANG,BERMANI ILIR
1566,BENGKULU,KABUPATEN KEPAHIANG,SEBERANG MUSI
1567,BENGKULU,KABUPATEN KEPAHIANG,TEBAT KARAI
1568,BENGKULU,KABUPATEN KEPAHIANG,KEPAHIANG
1569,BENGKULU,KABUPATEN KEPAHIANG,KABA WETAN
1570,BENGKULU,KABUPATEN KEPAHIANG,UJAN MAS
1571,BENGKULU,KABUPATEN KEPAHIANG,MERIGI
1572,BENGKULU,KABUPATEN BENGKULU TENGAH,TALANG EMPAT
1573,BENGKULU,KABUPATEN BENGKULU TENGAH,KARANG TINGGI
1574,BENGKULU,KABUPATEN BENGKULU TENGAH,TABA PENANJUNG
1575,BENGKULU,KABUPATEN BENGKULU TENGAH,MERIGI KELINDANG
1576,BENGKULU,KABUPATEN BENGKULU TENGAH,PAGAR JATI
1577,BENGKULU,KABUPATEN BENGKULU TENGAH,MERIGI SAKTI
1578,BENGKULU,KABUPATEN BENGKULU TENGAH,PONDOK KELAPA
1579,BENGKULU,KABUPATEN BENGKULU TENGAH,PONDOK KUBANG
1580,BENGKULU,KABUPATEN BENGKULU TENGAH,PEMATANG TIGA
1581,BENGKULU,KABUPATEN BENGKULU TENGAH,BANG HAJI
1582,BENGKULU,KOTA BENGKULU,SELEBAR
1583,BENGKULU,KOTA BENGKULU,KAMPUNG MELAYU
1584,BENGKULU,KOTA BENGKULU,GADING CEMPAKA
1585,BENGKULU,KOTA BENGKULU,RATU AGUNG
1586,BENGKULU,KOTA BENGKULU,RATU SAMBAN
