ID,Province,Regency,District
96,ACEH,KABUPATEN ACEH BARAT,BUBON
97,ACEH,KABUPATEN ACEH BARAT,ARONGAN LAMBALEK
98,ACEH,KABUPATEN ACEH BARAT,WOYLA
99,ACEH,KABUPATEN ACEH BARAT,WOYLA BARAT
100,ACEH,KABUPATEN ACEH BARAT,WOYLA TIMUR
101,ACEH,KABUPATEN ACEH BARAT,KAWAY XVI
102,ACEH,KABUPATEN ACEH BARAT,MEUREUBO
103,ACEH,KABUPATEN ACEH BARAT,PANTAI CEUREMEN
104,ACEH,KABUPATEN ACEH BARAT,PANTON REU
105,ACEH,KABUPATEN ACEH BARAT,SUNGAI MAS
106,ACEH,KABUPATEN ACEH BESAR,LHOONG
107,ACEH,KABUPATEN ACEH BESAR,LHOKNGA
108,ACEH,KABUPATEN ACEH BESAR,LEUPUNG
109,ACEH,KABUPATEN ACEH BESAR,INDRAPURI
110,ACEH,KABUPATEN ACEH BESAR,KUTA COT GLIE
111,ACEH,KABUPATEN ACEH BESAR,SEULIMEUM
112,ACEH,KABUPATEN ACEH BESAR,KOTA JANTHO
113,ACEH,KABUPATEN ACEH BESAR,LEMBAH SEULAWAH
114,ACEH,KABUPATEN ACEH BESAR,MESJID RAYA
115,ACEH,KABUPATEN ACEH BESAR,DARUSSALAM
116,ACEH,KABUPATEN ACEH BESAR,BAITUSSALAM
117,ACEH,KABUPATEN ACEH BESAR,KUTA BARO
118,ACEH,KABUPATEN ACEH BESAR,MONTASIK
119,ACEH,KABUPATEN ACEH BESAR,BLANG BINTANG
120,ACEH,KABUPATEN ACEH BESAR,INGIN JAYA
121,ACEH,KABUPATEN ACEH BESAR,KRUENG BARONA JAYA
122,ACEH,KABUPATEN ACEH BESAR,SUKA MAKMUR
123,ACEH,KABUPATEN ACEH BESAR,KUTA MALAKA
124,ACEH,KABUPATEN ACEH BESAR,SIMPANG TIGA
125,ACEH,KABUPATEN ACEH BESAR,DARUL IMARAH
126,ACEH,KABUPATEN ACEH BESAR,DARUL KAMAL
127,ACEH,KABUPATEN ACEH BESAR,PEUKAN BADA
128,ACEH,KABUPATEN ACEH BESAR,PULO ACEH
129,ACEH,KABUPATEN PIDIE,GEUMPANG
130,ACEH,KABUPATEN PIDIE,MANE
131,ACEH,KABUPATEN PIDIE,GLUMPANG TIGA
132,ACEH,KABUPATEN PIDIE,GLUMPANG BARO
133,ACEH,KABUPATEN PIDIE,MUTIARA
134,ACEH,KABUPATEN PIDIE,MUTIARA TIMUR
135,ACEH,KABUPATEN PIDIE,TIRO/TRUSEB
136,ACEH,KABUPATEN PIDIE,TANGSE
137,ACEH,KABUPATEN PIDIE,KEUMALA
138,ACEH,KABUPATEN PIDIE,TITEUE
139,ACEH,KABUPATEN PIDIE,SAKTI
140,ACEH,KABUPATEN PIDIE,MILA
141,ACEH,KABUPATEN PIDIE,PADANG TIJI
142,ACEH,KABUPATEN PIDIE,DELIMA
143,ACEH,KABUPATEN PIDIE,GRONG GRONG
144,ACEH,KABUPATEN PIDIE,INDRAJAYA
145,ACEH,KABUPATEN PIDIE,PEUKAN BARO
146,ACEH,KABUPATEN PIDIE,KEMBANG TANJONG
147,ACEH,KABUPATEN PIDIE,SIMPANG TIGA
148,ACEH,KABUPATEN PIDIE,KOTA SIGLI
149,ACEH,KABUPATEN PIDIE,PIDIE
150,ACEH,KABUPATEN PIDIE,BATEE
151,ACEH,KABUPATEN PIDIE,MUARA TIGA
152,ACEH,KABUPATEN BIREUEN,SAMALANGA
153,ACEH,KABUPATEN BIREUEN,SIMPANG MAMPLAM
154,ACEH,KABUPATEN BIREUEN,PANDRAH
155,ACEH,KABUPATEN BIREUEN,JEUNIEB
156,ACEH,KABUPATEN BIREUEN,PEULIMBANG
157,ACEH,KABUPATEN BIREUEN,PEUDADA
158,ACEH,KABUPATEN BIREUEN,JULI
159,ACEH,KABUPATEN BIREUEN,JEUMPA
160,ACEH,KABUPATEN BIREUEN,KOTA JUANG
161,ACEH,KABUPATEN BIREUEN,KUALA
162,ACEH,KABUPATEN BIREUEN,JANGKA
163,ACEH,KABUPATEN BIREUEN,PEUSANGAN
164,ACEH,KABUPATEN BIREUEN,PEUSANGAN SELATAN
165,ACEH,KABUPATEN BIREUEN,PEUSANGAN SIBLAH KRUENG
166,ACEH,KABUPATEN BIREUEN,MAKMUR
167,ACEH,KABUPATEN BIREUEN,GANDA PURA
168,ACEH,KABUPATEN BIREUEN,KUTA BLANG
169,ACEH,KABUPATEN ACEH UTARA,SAWANG
170,ACEH,KABUPATEN ACEH UTARA,NISAM
171,ACEH,KABUPATEN ACEH UTARA,NISAM ANTARA
172,ACEH,KABUPATEN ACEH UTARA,BANDA BARO
173,ACEH,KABUPATEN ACEH UTARA,KUTA MAKMUR
174,ACEH,KABUPATEN ACEH UTARA,SIMPANG KERAMAT
175,ACEH,KABUPATEN ACEH UTARA,SYAMTALIRA BAYU
176,ACEH,KABUPATEN ACEH UTARA,GEUREUDONG PASE
177,ACEH,KABUPATEN ACEH UTARA,MEURAH MULIA
178,ACEH,KABUPATEN ACEH UTARA,MATANGKULI
179,ACEH,KABUPATEN ACEH UTARA,PAYA BAKONG
180,ACEH,KABUPATEN ACEH UTARA,PIRAK TIMU
